Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123
2.0,-17.527804785878118,-66.18585364681421,-10.158439900077237,-19.19467962632406,-710.3417699505978,-2.6785147601941937,-12.865947795232792,-0.8281109795096029,-21.512537013427508,27.82895884287131,44.72047310617424,10.39833331920272,9.017260863835045,-7.898625795008176,29.82477354281754
2.1,-17.82153503532563,-64.95320351281781,-10.598074364759725,-18.50202877108292,-684.5296831694861,-1.516778279738979,-12.79843074508724,-0.9054071352543929,-20.482506547393186,29.536721291001278,44.733978957678914,8.3409215593937,7.963718237158673,-7.496943086827599,29.10915785730832
2.2,-17.297256360341947,-62.77342196100281,-9.345195619827507,-19.18026024928397,-661.0729962931189,-0.47759874580156847,-12.710453693919485,-0.5341826569813577,-20.057720999675947,28.357663638472765,43.85283604515876,7.427231066897015,11.577972500471063,-7.477232489910296,28.52084264684494
2.3,-17.5011469485555,-65.83356197043963,-10.060599093875132,-18.136232366396175,-636.3636579921138,0.5144230774528786,-12.327189392454875,-0.2779870732564902,-20.72004172825946,26.134126646967502,42.19803588620954,5.910203189514508,10.894099498718095,-8.01990189521365,27.795386745853897
2.4,-17.514572900907382,-64.56427738252656,-10.401033255498314,-17.86077969856328,-613.2762097720589,-3.523969499763801,-12.297084746533788,-0.0015974839266856833,-20.152093442187777,25.129596440233662,38.72352647793555,5.069490888328836,10.301788201124609,-7.382329656977728,26.659895786729066
2.5,-17.54421704394847,-62.328886628637285,-10.16542776131585,-17.95777708920212,-592.0844294941761,-3.854768215786418,-11.931357789786057,0.10319085785180349,-19.43342147743254,28.05556811475938,40.73560521649792,3.938908402058942,9.446142394229298,-7.444740674959807,26.082818607223246
2.6,-17.35490683076688,-60.91826366175025,-10.625530220058536,-17.417151106435185,-570.8936730578098,-3.08919092378191,-11.782110939093402,0.16722869343793434,-19.410619993177978,27.280887218588283,38.323501132894705,3.2238232016401547,9.116586938524534,-7.402638938091458,25.003409725881575
2.7,-16.997699004229013,-59.93199900064374,-9.383772588227643,-17.99280388481106,-549.9348839768177,-2.720102434498415,-11.480458598521816,0.13179382377701465,-19.702933382093946,26.431208930642853,37.25742757951134,1.6232488533953635,7.765988393570588,-7.305165991880013,23.921694616758415
2.8,-17.054868387255773,-57.79865200827461,-9.42582327455801,-17.67994318544138,-529.6985651661811,-2.5522454030730017,-10.962551628665206,0.764018950463651,-19.499635438674947,24.91429490217879,35.26076028887417,0.9828471630628002,6.993715590020326,-7.33942347082041,23.40630287587777
2.9,-16.806339079009774,-57.26907504483978,-9.834669365502947,-17.49715962845434,-510.24617716572357,-3.0509270442846557,-10.324570723204939,0.7328836653089361,-19.231174530597563,23.870352072381344,34.02238018068071,0.43189761951781946,6.859330173273939,-6.957155051943776,22.3870844947635
3.0,-16.773014339080863,-55.14039781332759,-9.673994093272979,-16.954903708594607,-490.6988428058575,-2.8648574426176765,-10.466111652544269,-0.058620814658496556,-21.969588283032504,21.884306019643056,33.19054294456739,-0.7103758113495999,6.368825081015139,-6.999786725982988,21.901726649795663
3.1,-16.71783122990001,-54.602234374464565,-9.470041025195979,-16.823440001095268,-472.06380670512686,-3.125325767493308,-10.362656399731978,-0.0825336909051817,-20.885485893104253,20.752485905909214,31.88928966640087,-0.659863255686755,1.2668120367489948,-6.940193466482677,20.63110399286401
3.2,-16.642281623356354,-53.517832492706674,-9.797665067657505,-16.988949922472667,-456.7312923270929,-3.6828739423282357,-10.13504331899589,0.13184811112447647,-21.007497374060527,6.63426888636403,30.322486135019595,-2.0015662549693953,1.1397169215558947,-6.42483113289104,19.616120084830786
3.3,-16.228910973694624,-52.67621966638164,-9.468895928923441,-17.245163096837203,-437.40089859058247,-3.3650114016721258,-10.302062501192317,-0.1769073948155686,-20.53326926301326,4.313212519713037,27.44231793716657,-2.1050956481544922,4.613872995338525,-6.565316882826881,19.079611479053113
3.4,-16.43339722333784,-53.08397041172378,-9.220619794225495,-16.60505272984869,-420.9843578576013,1.6222078545970469,-10.190118492643812,0.13337192625358263,-20.63752782280696,2.735578898167743,25.4498716143993,-2.7225597404747894,3.9805341249381954,-6.238448759658356,17.77386562316319
3.5,-16.686597737788325,-49.379654514691595,-9.143297602087612,-15.746962089629196,-405.3322419824015,2.1779672300694592,-10.019170168794613,-0.13642074728092268,-20.727367188226317,1.4155291973665758,25.128968908876473,-3.8816267518639602,3.787042024856653,-6.724716183232335,17.193975807857477
3.6,-16.429153516235292,-47.77608027520084,-8.80278645696185,-16.07991894842386,-389.5736582144608,1.8558336008956573,-10.130015258856915,0.46230016877540336,-20.623701914981723,-0.13073916989373568,23.000980730242667,-3.5456446170920497,3.1512730323617433,-6.34696927967393,16.229890736605107
3.7,-16.36779051416652,-46.47484272973404,-8.532721210755248,-15.490470003167621,-375.1566192731887,1.970016406502662,-9.801539249449888,0.0457381234113452,-21.080015771511967,3.0663209620717264,21.283306162042877,-4.53781487549098,2.0464049168776626,-6.283091022041006,15.636699703015886
3.8,-15.790889879897602,-46.53109116890391,-9.00521854001969,-15.461763605640124,-361.48679121198904,2.0832385871636916,-9.901005360286863,0.192701397256009,-20.411083898539264,1.6380928593887187,20.400276227968533,-4.788408769755122,1.7577990698408676,-6.213473502353427,14.817559530581818
3.9,-16.27656757675501,-46.75175050592645,-8.481210379061224,-15.416160225971684,-342.8525642312455,2.1504420444741967,-10.057895048841123,0.19294366418730924,-20.647591956320756,1.2181209963590405,18.417584125002985,-4.986568619366217,1.4874191187628263,-6.290417583222975,14.518762021835613
4.0,-15.81029022791515,-51.08548339098506,-8.471144021942038,-15.29548329035891,-325.73236959236783,2.861434312016762,-10.310255732765517,0.48266626956263003,-20.565598552267538,0.027985284761419926,17.85314038899968,-5.138120674684519,0.6334989388706198,-6.319043804210727,13.49421640700735
