Time (s) Adjusted,grouped_osm8dr206 2M S bfr_Series002_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series004_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series005_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series007_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series008_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series009_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series011_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series013_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series014_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series015_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series016_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series017_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series018_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series019_Crop001_GCamP_Results_260123,grouped_osm8dr206 2M S bfr_Series020_Crop001_GCamP_Results_260123
4.0,-7.7129093738949015,8.158079163009283,-7.654999947020119,-33.69547907005322,-17.117004231145568,-36.4644134183542,-0.9388867459601755,-4.725167116884539,-8.161410581974799,-2.5378798875054187,-1.87194761500053,8.742020792345308,-11.746531241678273,18.049651291538794,-15.763443456554647
4.1,-7.135093129974349,6.914474133990069,-8.074508331916636,-32.420578115243536,-15.612962473310397,-36.33058204232006,-3.7846967069865496,-5.488530826661483,-7.583629813052025,-2.750429788350324,-1.5809636004280359,8.436618443406571,-11.71440090326125,17.228745340599573,-15.403904851407463
4.2,-7.806633912732397,6.262521805516414,-8.91911122952656,-32.19016501760122,-13.684896786165424,-35.66266531740653,-4.874440586652241,-4.96561751175065,-7.379139562707449,-2.387774035576376,-1.7968037459891937,8.500280621170901,-11.976319981495337,16.145792644604853,-15.030643513639754
4.3,-7.941826133148555,5.055898816991103,-8.872710312348234,-32.39791509185679,-12.496343192150547,-35.667347163660594,-5.103476747576806,-4.771543888042351,-7.336430876999465,-2.302862662188703,-1.5602499245838368,8.458964819254717,-11.608195575368665,14.833266825175407,-15.004102731238433
4.4,-8.012771813294853,4.640816592397101,-9.142409857771757,-32.08682708994195,-11.086071006128567,-35.21641754426457,-4.169005229012514,-4.524713685050732,-7.04687113326731,-2.370349611493541,-1.7214203490765465,8.197876333259778,-12.055900303908569,13.963336158397823,-14.369987741020973
4.5,-7.63510876344652,3.9898048111758087,-9.46512454313818,-30.178166682089092,-10.296384286493094,-34.67469820007426,-3.2650348074361624,-4.07883526888548,-6.852519192389632,-2.1441601400052654,-1.3314902129676298,8.680988367708196,-12.278531672341916,12.916405767795425,-14.198876940465405
4.6,-7.268311447572763,2.242384272011357,-9.436003731669924,-30.816111995243784,-10.220357287586516,-33.69659418793279,-1.7569524644132848,-4.379126641172875,-6.42406812888094,-2.410547788726122,-1.3027130131586775,8.371378699007291,-12.279304144126037,11.331094536493861,-14.044098208047359
4.7,-7.723447674225459,1.8678838995257578,-9.511426947448427,-29.667954320905675,-9.676636908726351,-33.261131609577824,-1.4407002553866342,-4.218556211224383,-5.7985339775434275,-3.039346431939208,-1.2570878731906978,8.75168769490956,-12.242731404523223,11.01026333434962,-13.616912324264785
4.8,-8.165835443442251,1.5860401612085937,-8.855714364389424,-29.127361322555522,-9.258404435339706,-31.88554052279047,-5.278094104974375,-3.9468652914500906,-6.5597543497276245,-2.693625817492544,-1.2138439337299598,8.0555044938559,-11.58304065057635,10.132766517592767,-12.966304469965408
4.9,-8.022646244779233,-5.746655452788026,-9.110770960241215,-29.532417277974645,-8.856400029548318,-30.988304256974846,-3.548691953016718,-3.80862358825926,-6.559893995471049,-2.2935581490337835,-1.022472733869118,8.323454023034172,-11.487980474614833,9.449330024302697,-13.026072113209844
5.0,-7.7799145111552805,0.8267804355599679,-8.568477514946757,-27.93290062027355,-8.443297948790427,-30.067733079434287,-2.4556096687351534,-2.8625321642592887,-6.002629661404004,-2.3274342108215613,-1.3539874179437392,7.873714086332349,-10.796815972873157,9.131478019133311,-12.420750170489466
5.1,-7.714772752710373,-0.6477250646598307,-8.405518042094032,-26.359693510361115,-7.688896598688721,-29.264533378457422,-2.132628399272356,-3.4869002763048567,-6.07164794762328,-1.6503743867502187,-1.5199053769587234,8.033502930922323,-10.988696865451015,8.198493241730901,-11.906907769782881
5.2,-6.383175049925271,-0.6198824033833219,-8.047450823758837,-25.621616347467693,-6.995542694599827,-28.40356634766222,-2.3737247063311386,-3.0078207349453807,-6.381143770224511,-2.0325166761221265,-1.6933263169571822,7.910537358977059,-10.38607396187917,7.272713852486547,-11.170725222156543
