Time (s) Adjusted,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123
3.2,-5.780696126489802,-5.486568699993649,5.787514689685217,2.094391693887795,-3.786583626470657,-29.161130397795983,-24.9074993571868,3.0898068153015004,4.138994715741386,3.135687434761266,-1.3622654223137936,-7.784747706314867,-5.865432897916744,-16.020203784717996,-15.904690268916042,-0.699449004316115
3.3,-5.677820762576564,-5.792533723469062,8.263659651846815,1.9213323555938677,-0.305442494273219,-29.152875650934085,-24.756186383293144,3.0403455093255367,4.288296424566573,2.866423708756084,-1.83386956245279,-7.185782211740495,-5.665744832461005,-16.21441442290088,-15.65384338852672,-1.0961479639099458
3.4,-5.567842325515526,-5.079843952643692,7.653924411451889,2.1390827549899907,-3.038372406468879,-28.86052657993438,-24.315819697794748,2.841950522588373,4.28657561741224,3.0276483377891132,-1.5381976449408974,-7.253052909459559,-5.328755418820251,-15.394302209222664,-15.549043558719905,-0.9665676909037622
3.5,-5.438167827468125,-5.412211226469963,3.2472182440276,1.3802669668573584,-3.0985986893038744,-28.54372052619307,-23.92504721020246,2.697837841585894,4.625688244825007,2.985236982431415,-2.2274168817049933,-7.43353322347599,-5.703126343375914,-15.531683825225844,-15.123987814057621,-1.0645372022512518
3.6,-5.6439671689621935,-5.199966761193712,2.952722458353634,1.5667258128113284,-2.638620363038193,-27.799761102053083,-23.478408600304277,2.8612984596746784,4.783504070475374,2.896639218120894,-2.549678388545612,-6.71711040831811,-5.684340090449016,-14.64289694769532,-14.966586770855407,-0.519952792184764
3.7,-5.191769468789122,-4.737839603547521,3.329620687382768,1.5415287801008182,-3.042182916921611,-27.611108694046024,-23.257308241058514,2.604058500876512,4.404561943587218,2.8140544268236027,-2.0055729718384256,-6.930816747870736,-5.511719446041468,-14.860042063958433,-15.018820448716019,-1.2644606677371932
3.8,-5.692231948856008,-4.831526099541684,3.362847308556466,0.948437759255027,-2.8391751363039495,-27.72888046485957,-23.655477874690696,2.5794466271038097,4.2260386293315975,2.940645531747787,-2.3006215614275334,-6.537449958650111,-5.698504730257568,-14.435522748237858,-14.8877962793641,-0.8343583662696723
3.9,-5.323269458900286,-4.776499363981279,3.067604927474159,0.9134356189246287,-2.6772817479742823,-27.366267315996115,-23.261325521182876,2.3891497397751014,4.053349610358975,2.6669165254171094,-2.366182522564255,-6.928142674006928,-5.452502232970051,-14.10811693259606,-14.64453671743862,-0.8299987859199511
4.0,-5.464826587956299,-4.4407307866483094,2.8787635629792483,0.7008049679448121,-3.087938762145188,-27.502233707126432,-23.148271486920606,2.0637445531286076,3.977792306358623,2.7090584913044466,-2.5517456524576394,-6.279381755162699,-5.740038332380557,-13.790412841540558,-14.291221667183173,-0.49317016694238447
4.1,-5.40898901153225,-4.2694260642008075,2.5094898552827747,0.7102080227784073,-2.850414346846688,-27.0936270547273,-22.846701356074785,2.202503582051353,3.8227457803854747,2.570223999603755,-2.276831103922449,-6.729943943432195,-5.596273188970159,-13.451365828343569,-14.249038704392554,-0.2966783876889103
4.2,-5.758411866796029,-3.8672107494675325,2.6861200312143403,0.6218691725099186,-3.176529769416584,-26.865341807235914,-22.794781613061485,2.2910761616830424,3.870281512965402,2.536395298822601,-2.1556122172470644,-6.355669696741142,-5.361735497844506,-13.004315271067322,-14.033854115050612,-0.7462412497897333
4.3,-5.427607754305925,-3.821455733819284,7.124721697007374,0.49881532485593194,-3.626671301582869,-25.935127697284972,-22.118038055949324,1.8819621685930183,3.8848351329448843,2.4517882029822715,-2.0456732805936273,-6.722972071044431,-5.268454117744646,-12.903770586235003,-13.683477917860362,-1.1507512256881842
4.4,-5.932878525284953,-3.8609997703664085,7.666342969847204,0.5522940529278575,-3.6660886377487367,-25.606176370904986,-21.979679654918783,1.828679292355723,3.53204955595662,2.485364264251256,-2.1199563592489223,-6.23778413907352,-5.228694566979435,-12.478433813624248,-13.668373596352168,-1.0271591387867112
4.5,-5.516511611372469,-3.815841756032788,7.790278594971344,0.04513404940864252,-3.281904925341439,-25.387155793215147,-21.727017296530075,2.1422019534620738,3.3942686046998034,2.3700137595980024,-2.037531053862459,-6.266104846913731,-5.535603784728792,-11.774805966206046,-13.371017461410009,-1.1698796502521702
4.6,-5.317441521223866,-3.785382180931814,7.265589668333323,0.14588283209386876,-3.728072568338911,-24.63866742756036,-21.165429751336426,2.2206536688621092,3.33515331029667,2.1597837653094096,-1.942632151353358,-6.2204359807837335,-5.572531487806721,-11.814055826794961,-13.108911110100092,-1.195493045119676
4.7,-5.0888868395462765,-3.7028766691032873,6.8644604553639965,0.34975932944523613,-3.4889029692183664,-24.250026337316072,-20.71642608882599,2.128406412572449,3.2557295092994423,2.0929738272921306,-1.953150333554687,-6.2513762491660465,-5.618728209829715,-11.545909701522776,-12.938634101666661,-1.0835474212518577
4.8,-5.365351142471809,-3.5654985557406125,2.354072028499978,0.1565304343104268,-3.594210574545281,-24.097398214570383,-20.724819499484234,1.9886464272065751,3.2797881839935634,2.0325884621448083,-2.2277430539714445,-6.080340511238052,-5.4823855519638585,-11.216945775836814,-12.343632192125469,-1.0444813370936288
