Index,Time (s) Adjusted,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series001_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series005_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series007_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series008_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series009_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean2,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean1,grouped_wild type 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean2
32,3.1,8299.385,2608.808,10699.444,3828.667,8074.322,2268.411,5604.1,2334.95,7658.364,2195.061,11745.015,2653.783,15386.48,2241.72,7417.045,2911.776,5406.328,2474.062,11389.131,880.098,5848.182,2373.602,6485.359,2563.587,11765.902,2308.142,33330.012,2860.96,16979.785,2466.975
33,3.2,8308.525,2620.039,10670.833,3809.407,8051.044,2272.889,5587.45,2327.4,7598.545,2222.136,11680.479,2647.536,15404.78,2250.52,7431.866,2920.224,5396.859,2472.203,9846.59,494.115,5806.477,2372.057,6437.75,2565.152,11738.08,2302.593,33432.625,2870.28,16863.443,2471.911
34,3.3,8322.154,2615.372,10653.963,3815.278,8058.056,2274.033,5588.237,2340.363,7531.879,1961.727,11692.29,2648.913,15370.72,2255.26,7421.716,2925.358,5405.0,2469.234,9652.787,495.131,5735.364,2373.148,6432.891,2568.022,11982.478,2280.717,33339.078,2860.133,16788.305,2465.24
35,3.4,8309.038,2621.205,10579.648,3837.5,8049.089,2263.289,5606.438,2340.325,7583.379,1962.47,12040.159,2619.986,15356.44,2245.58,7420.537,2913.836,5396.859,2468.141,9518.722,495.279,5672.341,2360.67,6412.696,2572.75,11919.495,2280.531,33378.641,2857.08,16637.152,2467.456
36,3.5,8292.064,2626.103,10664.63,3771.185,8045.711,2266.855,5626.087,2334.337,7623.091,1964.318,12061.507,2612.145,15360.06,2246.54,7408.224,2915.194,5383.469,2461.344,9404.524,494.295,5661.011,2359.102,6368.696,2571.793,11890.177,2278.752,33210.254,2865.16,16561.721,2465.279
37,3.6,8284.372,2609.474,10717.407,3797.574,8057.778,2272.367,5605.6,2328.625,7695.379,1959.621,12024.348,2614.623,15335.42,2253.72,7422.866,2907.552,5390.375,2468.766,9273.278,494.705,5613.898,2365.841,6371.043,2567.141,11827.168,2278.699,33260.012,2858.467,16452.949,2472.165
38,3.7,8302.243,2630.218,10738.723,3809.537,8070.178,2281.789,5633.038,2339.538,7722.333,1960.106,12023.551,2619.188,15342.7,2238.98,7412.746,2917.179,5373.047,2469.531,9528.951,495.344,5578.364,2374.148,6340.761,2574.304,11730.142,2282.195,33228.375,2854.907,16369.607,2463.544
39,3.8,8306.833,2606.577,10659.759,3801.574,8031.245,2277.855,5623.0,2332.0,7735.47,1962.091,12025.493,2626.522,15316.2,2242.84,7408.657,2909.508,5389.516,2468.766,9408.426,496.852,5545.614,2364.875,6324.185,2570.348,11698.505,2285.664,33205.906,2858.907,16272.278,2465.874
40,3.9,8270.359,2605.936,10596.056,3817.667,8039.478,2270.056,5624.438,2335.363,7782.758,1665.621,12000.42,2610.406,15287.46,2251.46,7410.687,2914.03,5375.484,2465.922,9366.967,495.23,5497.955,2367.523,6307.304,2564.326,11662.841,2283.628,33134.879,2853.787,16228.329,2464.152
41,4.0,8292.615,2606.603,10289.648,3836.759,8036.033,2276.855,5626.487,2336.788,7731.667,1335.061,12046.695,2615.087,15229.56,2242.58,7419.716,2913.567,5378.891,2470.516,9265.655,496.541,5480.023,2365.295,6302.315,2568.63,11587.177,2288.327,33080.441,2852.173,16113.418,2471.57
