Index,Time (s) Adjusted,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series002_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series004_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series006_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series011_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series013_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series015_Crop002_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series017_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series019_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series020_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series021_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series022_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series023_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series024_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series025_Crop001_GCamP_Results_260123_Mean2,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123_Mean1,grouped_osm8dr206 ptr23dr180 2M Sbfr_Series026_Crop001_GCamP_Results_260123_Mean2
28,2.7,12283.754,2577.492,13965.271,2541.622,15826.743,2544.057,17608.354,2703.077,15777.957,2375.468,16123.111,2585.194,15620.682,2492.591,18764.145,2744.232,10509.583,2511.917,17198.928,2202.906,15825.556,2243.241,18927.736,2198.404,19256.809,2173.349,8574.67,2152.561,23679.229,2184.729,15221.128,2166.83
29,2.8,12240.541,2577.312,13998.216,2535.297,15843.286,2547.229,17581.016,2699.4,15761.872,2382.66,16119.556,2599.667,15620.978,2494.159,18712.855,2739.87,10509.806,2516.681,17233.75,2204.312,15851.167,2240.278,18948.947,2194.772,19205.111,2173.476,8607.638,2157.308,23680.854,2191.292,15252.617,2169.021
30,2.9,12274.983,2576.902,13929.919,2542.324,15848.828,2549.428,17445.293,2700.446,15723.468,2381.511,16136.639,2585.861,15627.387,2492.841,18679.738,2745.913,10512.194,2508.889,17213.291,2203.802,15788.426,2237.426,18905.404,2209.421,19474.223,2177.206,8605.209,2146.802,23612.438,2180.833,15220.617,2159.489
31,3.0,12258.394,2575.262,13959.703,2535.189,15848.114,2538.114,17393.062,2686.354,15723.766,2365.872,16213.694,2591.583,15691.272,2505.659,18692.508,2738.232,10498.681,2508.542,17201.697,2210.823,15737.389,2234.593,18921.596,2204.456,19448.73,2165.317,8635.714,2147.659,23656.25,2174.562,15192.894,2167.426
32,3.1,12227.263,2575.164,13954.054,2523.324,16047.485,2552.143,17283.445,2697.708,15685.915,2371.851,16181.0,2589.028,15644.887,2494.159,18599.898,2733.696,10500.389,2511.653,17209.656,2209.885,15728.944,2235.019,18940.088,2200.93,19417.223,2171.206,8631.648,2154.868,23634.834,2175.604,15205.915,2166.383
33,3.2,12229.508,2573.787,13946.189,2538.757,16023.2,2541.572,17613.0,2666.554,15676.766,2385.766,16174.611,2594.444,15635.75,2503.045,18550.145,2735.449,10483.417,2506.292,17186.959,2193.906,15732.241,2235.685,18930.176,2206.176,19386.016,2180.857,8663.154,2145.725,23582.0,2183.208,15234.468,2168.021
34,3.3,12223.885,2565.41,13905.622,2539.406,16340.257,2577.714,17592.555,2676.723,16077.298,2345.362,16143.694,2588.972,15633.387,2504.068,18540.941,2746.841,10482.111,2498.264,17146.322,2199.146,15664.926,2234.648,18982.299,2202.368,19374.588,2178.095,8643.022,2152.352,23587.375,2183.771,15164.361,2156.042
35,3.4,12221.36,2559.475,13965.838,2532.0,16241.457,2557.686,17601.969,2662.185,15757.298,2385.021,16177.083,2609.639,15668.409,2503.75,18502.289,2748.884,10480.777,2501.028,17155.791,2197.865,15685.741,2227.259,18945.492,2205.088,19385.396,2178.587,8679.659,2153.572,23564.188,2183.5,15182.468,2171.021
36,3.5,12239.655,2572.541,13926.216,2536.406,15714.828,2552.4,17492.6,2665.215,15741.0,2384.042,16196.723,2613.222,15701.091,2507.682,18463.928,2743.855,10498.556,2498.486,17146.271,2204.365,15598.037,2232.63,18890.824,2206.105,19297.904,2178.381,8655.989,2153.066,23599.709,2180.75,15156.298,2168.191
37,3.6,12208.64,2567.279,13944.0,2540.027,15682.314,2561.914,17518.076,2671.108,15802.979,2394.319,16259.389,2602.472,15740.204,2510.523,18460.42,2732.087,10515.583,2508.181,17122.219,2202.396,15548.556,2231.037,18961.807,2204.088,19258.826,2172.46,8698.341,2155.681,23598.834,2192.521,15212.426,2172.872
38,3.7,12254.655,2578.279,13989.946,2545.108,15684.972,2528.343,17505.691,2668.692,15739.937,2390.83,16261.806,2605.917,15740.887,2505.068,18423.014,2743.246,10478.181,2501.903,17103.094,2204.552,15605.852,2229.537,18907.525,2210.105,19250.699,2176.238,8661.483,2146.758,23540.959,2187.146,15106.426,2165.426
39,3.8,12196.459,2573.049,13964.648,2538.324,15696.886,2544.086,17426.062,2678.323,15749.447,2381.745,16205.223,2591.417,15656.863,2497.727,18399.609,2736.942,10459.152,2499.639,17115.428,2210.646,15562.5,2230.722,18932.299,2208.053,19189.635,2176.333,8686.912,2160.769,23529.459,2193.083,15144.851,2165.702
40,3.9,12210.836,2560.098,13961.865,2538.162,15651.942,2541.257,17413.555,2677.154,15760.915,2379.915,16233.723,2597.5,15696.818,2508.295,18355.377,2732.174,10449.027,2505.861,17066.625,2208.24,15545.759,2230.259,18847.613,2208.895,19190.953,2179.238,8682.835,2151.165,23518.959,2178.5,15125.702,2157.936
41,4.0,12199.787,2568.869,13992.757,2541.676,15618.629,2537.657,17376.508,2676.246,15708.639,2388.106,16189.306,2597.5,15673.75,2493.409,18293.682,2728.174,10431.861,2498.083,17053.947,2200.406,15516.186,2231.741,18899.719,2197.404,19105.619,2168.667,8689.494,2152.835,23553.5,2187.854,15155.468,2160.383
42,4.1,12201.836,2572.508,13998.135,2537.243,15575.942,2545.714,17364.801,2669.677,15720.426,2376.851,16229.583,2609.083,15702.613,2505.182,18306.262,2735.696,10416.417,2497.722,17033.834,2208.927,15546.037,2235.944,18806.053,2197.702,19103.984,2182.428,8696.868,2153.857,23511.416,2179.792,15161.574,2155.489
43,4.2,12155.065,2564.754,14042.108,2546.73,15586.686,2543.572,17351.477,2675.138,15678.021,2384.021,16224.25,2599.194,15680.046,2498.886,18291.217,2722.348,10417.973,2499.847,17018.156,2208.062,15557.241,2240.426,18829.965,2197.228,19091.207,2172.46,8709.066,2153.033,23510.291,2179.583,15105.468,2163.553
44,4.3,12184.033,2569.918,14019.243,2527.459,16114.857,2562.086,17318.953,2666.246,15614.063,2385.617,16311.0,2587.167,15747.954,2499.409,18232.088,2732.145,10408.819,2493.625,16991.906,2203.292,15559.537,2237.389,18770.422,2219.562,19071.539,2174.889,8701.396,2153.506,23544.709,2189.021,15052.553,2169.553
45,4.4,12132.787,2572.082,14025.622,2546.541,16149.571,2541.371,17320.385,2666.662,15606.766,2390.958,16339.75,2597.75,15741.318,2497.386,18215.014,2735.884,10385.0,2499.056,16995.969,2213.281,15539.296,2234.5,18795.561,2204.263,19043.412,2176.095,8715.418,2155.725,23504.834,2187.979,15047.83,2162.277
46,4.5,12159.64,2567.229,14023.919,2548.487,16165.058,2550.114,17267.338,2690.877,15633.787,2376.042,16352.694,2607.222,15758.887,2504.227,18241.652,2733.739,10370.806,2498.708,16956.229,2199.042,15547.648,2240.907,18763.352,2205.176,18982.842,2192.365,8737.264,2148.67,23516.271,2184.312,15020.191,2163.064
47,4.6,12171.623,2567.574,14011.433,2541.216,16098.028,2551.943,17249.385,2665.308,15571.043,2378.34,16420.75,2600.722,15804.022,2497.25,18229.666,2724.71,10368.402,2504.514,16933.594,2214.375,15550.741,2240.519,18740.211,2204.474,18921.635,2170.794,8721.077,2149.022,23521.354,2180.896,14999.915,2157.574
48,4.7,12188.246,2569.836,14012.297,2541.73,16047.571,2555.943,17278.861,2672.769,15595.489,2379.532,16446.305,2599.944,15844.387,2500.523,18206.262,2727.304,10349.973,2495.75,16905.291,2205.167,15539.5,2238.778,18700.877,2198.491,18880.396,2170.349,8728.253,2153.857,23519.584,2188.021,15012.979,2169.404
49,4.8,12152.459,2566.328,14018.378,2541.594,15500.114,2541.914,17241.785,2669.123,15585.872,2391.042,16432.334,2591.25,15811.068,2491.273,18177.986,2731.42,10352.208,2500.236,16886.479,2204.594,15494.223,2235.519,18698.088,2200.018,18873.809,2179.365,8724.912,2144.396,23591.604,2187.833,15003.319,2166.979
50,4.9,12193.099,2557.869,14020.973,2524.162,15838.114,2538.171,17201.908,2661.846,15590.021,2388.723,16457.334,2587.25,15852.841,2499.614,18180.16,2733.754,10363.014,2502.611,16859.334,2206.896,15528.352,2232.185,18626.018,2199.053,18838.207,2173.921,8732.286,2147.011,23594.771,2187.688,15017.128,2160.447
51,5.0,12207.853,2558.312,13986.811,2537.459,15835.429,2542.257,17221.646,2668.431,15589.341,2378.894,16522.945,2589.528,15880.659,2507.023,18175.463,2736.0,10305.236,2490.736,16853.521,2200.594,15509.037,2243.481,18644.877,2193.298,18755.047,2171.27,8747.517,2143.912,23604.896,2185.521,15018.191,2162.489
52,5.1,12197.476,2567.475,14019.865,2538.513,15832.143,2535.086,17209.814,2671.4,15560.872,2376.106,16534.473,2577.028,15898.478,2495.705,18159.391,2730.116,10303.042,2509.528,16801.053,2202.49,15460.593,2237.852,18635.0,2202.877,18782.777,2168.048,8745.55,2149.374,23678.729,2184.208,15038.149,2162.745
53,5.2,12178.246,2555.394,13986.729,2544.487,15786.771,2530.629,17100.293,2666.615,15585.83,2372.681,16510.277,2590.306,15875.818,2497.136,18187.188,2737.942,10292.986,2500.806,16776.021,2209.365,15457.667,2244.907,18655.0,2205.368,18733.461,2177.238,8744.406,2149.539,23593.729,2174.125,15032.915,2170.0
54,5.3,12171.918,2558.836,13988.405,2532.189,15668.257,2539.086,17144.861,2662.569,15564.915,2387.277,16485.195,2579.167,15873.75,2497.114,18120.941,2726.058,10303.902,2500.736,16739.312,2203.656,15426.241,2240.093,18620.193,2205.386,18737.588,2170.0,8746.692,2144.758,23645.938,2174.083,15034.872,2162.021
